metdiv20,POVPIP,has_pap,has_ssip,has_hins4,has_snap,American Indian and Alaska Native,Asian,Black or African American,Native Hawaiian,Pacific Islander,White,Hispanic or Latino,Veteran,Elderly,DIS,English less than very well,WGTP
15804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107
15804,0,0,0,0,0,0,0,0,0,0,303,0,0,0,0,0,303
15804,0,0,0,0,0,0,0,0,0,0,46,0,0,0,46,0,46
15804,0,0,0,0,0,0,0,0,0,0,731,0,0,731,0,0,731
15804,0,0,0,0,0,0,0,0,0,0,253,0,0,253,253,0,253
15804,0,0,0,0,0,0,0,0,0,0,117,0,117,117,0,0,117
15804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,0,0,0,0,0,0,0,0,0,0,47,47,47,47,0,0,47
15804,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,0,239
15804,0,0,0,0,0,0,0,66,0,0,0,0,0,0,66,0,66
15804,0,0,0,0,0,0,0,275,0,0,0,0,0,275,0,0,275
15804,0,0,0,0,0,0,0,117,0,0,0,0,0,117,117,0,117
15804,0,0,0,0,0,0,0,50,0,0,0,0,50,50,0,0,50
15804,0,0,0,0,0,0,83,0,0,0,0,0,0,83,0,0,83
15804,0,0,0,0,0,0,75,0,0,0,0,0,0,75,0,75,75
15804,0,0,0,0,0,40,0,0,0,0,0,0,0,40,0,0,40
15804,0,0,0,0,0,23,0,23,0,0,0,0,0,23,0,0,23
15804,0,0,0,0,1,0,0,198,0,0,0,0,0,198,0,0,198
15804,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,0,0,0,1,0,0,0,0,0,0,0,501,0,0,0,0,501
15804,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,0,0,0,1,0,0,0,0,0,0,0,56,0,0,56,56,56
15804,0,0,0,1,0,0,0,0,0,0,149,0,0,0,0,0,149
15804,0,0,0,1,0,0,0,0,0,0,54,0,0,0,54,54,54
15804,0,0,0,1,0,0,0,0,0,0,53,0,0,53,53,0,53
15804,0,0,0,1,0,0,0,0,0,0,99,0,99,0,0,0,99
15804,0,0,0,1,0,0,0,0,0,0,53,0,53,53,0,0,53
15804,0,0,0,1,0,0,0,26,0,0,0,0,0,0,26,0,26
15804,0,0,0,1,0,0,0,73,0,0,0,0,0,73,0,0,73
15804,0,0,0,1,0,0,0,173,0,0,0,0,173,0,0,0,173
15804,0,0,0,1,0,0,0,165,0,0,165,0,0,0,0,0,165
15804,0,0,0,1,0,0,136,0,0,0,0,0,0,0,136,136,136
15804,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,0,0,0,1,1,0,0,0,0,0,0,89,0,89,89,89,89
15804,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,0,0,0,1,1,0,0,0,0,0,61,0,0,0,61,0,61
15804,0,0,0,1,1,0,0,0,0,0,53,0,0,53,0,0,53
15804,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,0,0,0,1,1,0,0,0,0,0,211,211,0,0,0,211,211
15804,0,0,0,1,1,0,0,0,0,0,104,104,0,0,104,104,104
15804,0,0,0,1,1,0,0,0,0,0,93,93,93,93,93,93,93
15804,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,0,0,0,1,1,0,0,127,0,0,0,0,0,0,127,0,127
15804,0,1,0,1,1,0,0,0,0,0,0,153,0,0,0,0,153
15804,2,0,0,0,0,0,0,0,0,0,40,0,0,40,40,0,40
15804,2,0,0,0,0,0,94,0,0,0,94,0,0,0,0,0,94
15804,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,2,0,0,1,0,0,0,0,0,0,101,0,0,0,101,0,101
15804,2,0,0,1,0,0,0,0,0,0,15,0,0,15,15,15,15
15804,2,0,0,1,1,0,0,0,0,0,79,0,0,0,0,0,79
15804,2,1,0,1,1,0,0,78,0,0,78,0,0,0,0,0,78
15804,2,1,1,1,1,0,125,0,0,0,125,0,0,0,125,0,125
15804,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,3,0,0,1,0,0,0,0,0,0,324,0,0,0,0,0,324
15804,4,0,0,0,0,0,0,0,0,0,0,27,0,27,27,0,27
15804,4,0,0,0,0,0,0,0,0,0,86,0,0,86,0,0,86
15804,4,0,0,1,0,0,0,0,0,0,188,0,0,0,0,0,188
15804,4,0,0,1,0,0,0,0,0,0,171,0,0,0,171,0,171
15804,5,0,0,1,0,0,0,0,0,0,109,0,0,0,109,0,109
15804,5,0,0,1,1,0,0,0,0,0,0,50,0,0,50,0,50
15804,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,5,1,0,1,1,29,0,0,0,0,0,0,0,0,0,0,29
15804,6,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,206
15804,6,0,0,0,0,0,0,0,0,0,62,0,0,62,0,0,62
15804,7,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,75
15804,7,0,0,0,1,0,0,118,0,0,0,0,0,0,118,0,118
15804,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,7,0,0,1,0,0,0,126,0,0,0,126,0,0,126,126,126
15804,8,0,0,0,0,0,0,0,0,0,35,0,0,0,35,0,35
15804,8,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,47
15804,8,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1
15804,9,0,0,0,0,0,0,0,0,0,51,0,0,51,51,0,51
15804,9,0,0,1,0,0,0,0,0,0,52,0,0,52,0,0,52
15804,9,0,0,1,1,0,0,50,0,0,50,0,0,0,50,0,50
15804,9,0,1,1,0,0,0,0,0,0,192,0,0,0,192,0,192
15804,10,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,29
15804,10,0,0,0,0,0,0,0,0,0,44,0,0,44,0,0,44
15804,10,0,0,0,0,0,0,0,0,0,102,102,0,102,102,0,102
15804,10,0,0,0,1,0,0,0,0,0,62,0,0,62,0,0,62
15804,10,0,0,1,0,0,0,0,0,0,101,0,0,0,0,0,101
15804,10,0,1,1,0,72,0,0,0,0,0,72,0,0,0,72,72
15804,11,0,0,0,0,0,0,0,0,0,96,0,0,96,0,0,96
15804,11,0,0,0,0,0,0,0,0,0,42,0,0,42,42,0,42
15804,11,0,0,0,0,0,0,0,0,0,81,0,81,81,81,0,81
15804,11,0,0,0,1,0,0,0,0,0,0,0,0,106,106,0,106
15804,11,0,0,1,0,0,0,0,0,0,47,0,0,47,47,0,47
15804,11,0,0,1,0,0,0,0,0,0,122,0,122,122,0,0,122
15804,11,0,0,1,0,0,0,0,0,0,42,42,0,0,0,0,42
15804,12,0,0,0,0,0,0,0,0,0,73,0,0,0,73,0,73
15804,12,0,0,0,0,0,0,0,0,0,93,0,0,93,0,0,93
15804,12,0,0,0,0,0,0,0,0,0,62,0,0,62,62,0,62
15804,12,0,0,0,0,0,0,358,0,0,0,0,0,358,0,0,358
15804,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,13,0,0,1,1,110,0,0,0,0,0,110,0,0,0,110,110
15804,14,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,84
15804,14,0,0,0,0,0,0,0,0,0,83,0,0,83,0,0,83
15804,14,0,0,0,0,0,0,0,0,0,106,0,0,106,106,0,106
15804,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,14,0,0,1,0,0,0,56,0,0,56,0,0,56,0,0,56
15804,14,0,0,1,0,0,99,0,0,0,0,0,0,0,0,99,99
15804,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,14,0,0,1,1,0,0,0,0,0,148,0,0,0,148,0,148
15804,14,0,0,1,1,0,0,0,0,0,59,0,0,59,59,0,59
15804,14,1,0,1,1,0,0,0,0,0,12,0,0,0,0,0,12
15804,15,0,0,0,0,0,0,0,0,0,81,0,0,0,81,0,81
15804,15,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
15804,15,0,0,0,0,0,0,0,0,0,85,0,0,85,85,0,85
15804,15,0,0,0,0,0,0,64,0,0,0,0,0,64,0,0,64
15804,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,15,0,0,1,0,0,0,0,0,0,72,72,0,72,0,0,72
15804,15,0,1,1,1,0,69,0,0,0,0,0,0,69,0,69,69
15804,16,0,0,0,0,0,0,0,0,0,345,0,0,345,0,0,345
15804,16,1,0,1,0,0,0,0,0,0,0,91,0,0,0,91,91
15804,17,0,0,0,1,0,0,0,0,0,108,0,108,108,108,0,108
15804,17,0,0,1,1,0,0,45,0,0,45,45,0,0,45,45,45
15804,17,1,0,1,1,216,0,216,0,0,0,0,0,0,0,0,216
15804,18,0,0,0,0,0,0,0,0,0,67,0,0,67,0,0,67
15804,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,18,0,0,1,1,39,0,0,0,0,39,0,0,0,39,0,39
15804,18,0,0,1,1,102,102,102,0,0,0,0,0,0,102,102,102
15804,18,0,1,1,0,0,0,119,0,0,0,0,0,119,119,0,119
15804,18,1,0,1,1,0,0,70,0,0,0,0,0,0,70,0,70
15804,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,19,0,0,0,0,0,0,0,0,0,144,0,0,144,144,0,144
15804,19,0,0,0,0,0,0,0,0,0,97,97,0,97,97,97,97
15804,20,0,0,0,0,0,0,37,0,0,0,0,0,37,0,0,37
15804,20,0,0,1,1,0,0,0,0,0,156,0,0,0,156,0,156
15804,21,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,163
15804,21,0,0,0,0,0,0,0,0,0,140,0,0,140,0,0,140
15804,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,22,0,0,0,0,0,0,0,0,0,23,0,0,23,0,0,23
15804,22,0,0,0,0,0,0,0,0,0,194,0,194,194,0,0,194
15804,22,0,0,0,0,0,0,0,0,0,145,145,0,145,0,0,145
15804,22,0,0,0,0,0,0,43,0,0,0,0,0,43,0,0,43
15804,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,22,0,0,1,0,0,0,0,0,0,83,0,0,83,0,0,83
15804,22,0,0,1,0,0,0,0,0,0,18,18,0,0,0,0,18
15804,22,0,0,1,1,0,0,220,0,0,0,0,0,0,220,0,220
15804,22,0,0,1,1,0,0,86,0,0,86,0,0,0,0,0,86
15804,22,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,22,1,0,1,1,0,0,226,0,0,0,0,0,0,0,226,226
15804,22,1,0,1,1,0,0,61,0,0,61,0,61,0,0,0,61
15804,23,0,0,0,0,0,0,0,0,0,274,0,0,274,0,0,274
15804,23,0,0,0,0,0,0,0,0,0,100,0,100,100,0,0,100
15804,23,0,0,1,0,0,64,0,0,0,64,0,0,0,0,64,64
15804,23,0,1,1,0,0,0,0,0,0,62,62,0,0,0,0,62
15804,23,1,0,1,1,0,0,81,0,0,0,0,0,0,81,0,81
15804,24,0,0,0,0,0,0,44,0,0,0,0,0,44,0,0,44
15804,25,0,0,0,0,0,0,0,0,0,51,0,0,51,0,0,51
15804,25,0,0,1,1,0,0,266,0,0,0,0,0,0,0,0,266
15804,25,1,0,1,1,0,0,0,0,0,307,0,0,0,307,0,307
15804,26,0,0,0,1,0,0,0,0,0,84,0,0,84,84,0,84
15804,26,0,0,1,1,0,0,89,0,0,0,0,0,0,0,0,89
15804,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,27,0,0,1,0,0,0,233,0,0,0,233,0,0,0,0,233
15804,27,0,1,1,1,0,0,123,0,0,0,0,0,123,0,0,123
15804,27,1,0,1,1,0,0,0,0,0,242,0,0,0,0,0,242
15804,27,1,1,1,1,0,420,0,0,0,0,0,0,420,420,420,420
15804,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,28,0,0,1,0,0,0,121,0,0,0,0,0,0,0,0,121
15804,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,30,0,0,1,1,0,0,187,0,0,0,0,0,0,0,0,187
15804,30,1,0,1,0,0,0,0,0,0,46,0,0,0,0,0,46
15804,31,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,20
15804,31,0,0,0,0,0,0,77,0,0,0,0,0,0,77,0,77
15804,31,0,0,1,1,0,0,270,0,0,0,270,0,0,0,0,270
15804,31,0,1,1,1,0,0,112,0,0,0,0,0,0,112,0,112
15804,31,0,1,1,1,0,122,0,0,0,0,0,0,122,122,122,122
15804,32,0,0,0,0,0,0,0,0,0,50,0,0,50,50,0,50
15804,32,0,0,1,0,0,0,0,0,0,101,101,0,101,0,0,101
15804,32,0,1,1,1,0,0,80,0,0,0,0,0,80,80,0,80
15804,33,0,0,0,0,33,0,0,0,0,33,0,0,0,33,0,33
15804,33,0,0,1,1,0,0,0,0,0,0,514,0,0,0,0,514
15804,33,0,0,1,1,0,0,0,0,0,156,0,0,156,0,156,156
15804,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,34,0,0,0,0,0,0,0,0,0,151,0,0,151,151,0,151
15804,34,0,0,1,0,0,0,0,0,0,78,78,0,0,78,0,78
15804,35,0,0,0,0,0,0,0,0,0,161,0,0,161,0,0,161
15804,35,0,0,1,0,0,0,0,0,0,124,0,0,0,124,0,124
15804,35,1,0,1,1,0,0,207,0,0,0,207,0,0,207,0,207
15804,36,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,55
15804,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,36,0,0,1,0,0,0,0,0,0,187,0,0,0,0,0,187
15804,37,0,0,0,0,0,0,0,0,0,107,0,0,107,0,0,107
15804,37,0,0,0,0,0,0,0,0,0,357,0,0,357,357,0,357
15804,37,0,0,1,1,0,0,0,0,0,0,265,0,0,0,265,265
15804,37,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,37,1,0,1,1,0,0,0,0,0,141,0,0,0,0,0,141
15804,39,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,252
15804,39,0,0,0,0,0,0,0,0,0,56,0,0,56,0,0,56
15804,39,1,0,0,0,0,0,0,0,0,61,0,0,61,61,0,61
15804,40,0,0,1,0,0,0,0,0,0,32,0,0,32,0,0,32
15804,41,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,50
15804,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,41,0,0,1,1,0,0,0,0,0,88,88,0,0,0,0,88
15804,41,0,1,1,0,0,0,0,0,0,68,0,0,68,0,0,68
15804,42,0,0,0,0,0,0,0,0,0,127,0,0,127,0,0,127
15804,42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,42,0,1,1,1,0,0,160,0,0,0,0,0,0,160,0,160
15804,43,0,0,0,0,0,0,0,0,0,52,0,0,52,0,0,52
15804,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,43,0,0,1,0,0,0,0,0,0,132,0,0,0,0,0,132
15804,43,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,43,0,0,1,1,0,0,129,0,0,129,0,0,0,0,0,129
15804,44,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,135
15804,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,44,0,0,1,0,0,0,468,0,0,0,0,0,0,0,0,468
15804,44,1,0,1,1,0,0,0,0,0,0,183,0,0,183,183,183
15804,44,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,45,0,0,0,0,0,0,67,0,0,67,0,0,67,0,0,67
15804,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,45,0,0,0,1,0,0,0,0,0,364,0,0,0,0,364,364
15804,45,0,0,1,0,0,0,215,0,0,0,0,0,0,0,0,215
15804,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,46,0,0,0,1,0,0,149,0,0,0,0,0,149,149,0,149
15804,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,46,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,47,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,150
15804,47,0,0,0,0,0,0,0,0,0,128,0,0,128,0,0,128
15804,47,0,0,0,0,0,0,0,0,0,310,0,0,310,310,0,310
15804,47,0,0,0,0,0,0,32,0,0,0,0,32,32,0,0,32
15804,47,0,0,0,0,0,0,27,0,0,0,27,0,0,27,0,27
15804,47,0,0,1,0,0,0,0,0,0,90,90,90,90,0,0,90
15804,47,0,0,1,1,0,0,306,0,0,0,0,0,0,0,0,306
15804,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,48,0,0,1,0,0,0,0,0,0,0,142,0,0,0,0,142
15804,48,0,0,1,0,0,0,0,0,0,0,124,0,0,124,124,124
15804,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,49,0,1,1,0,0,0,96,0,0,0,96,0,0,0,0,96
15804,49,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
15804,51,0,0,0,0,0,0,0,0,0,124,0,0,124,124,0,124
15804,51,0,0,0,1,0,0,114,0,0,0,0,0,114,114,0,114
15804,51,1,1,1,1,0,0,0,0,0,110,110,0,0,110,110,110
15804,52,0,0,1,0,0,0,0,0,0,0,454,0,0,0,0,454
15804,53,0,1,1,0,0,0,201,0,0,0,0,0,0,201,0,201
15804,54,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,203
15804,54,0,0,0,0,0,0,0,0,0,89,0,0,89,0,0,89
15804,54,0,0,0,0,0,0,0,0,0,251,0,0,251,251,0,251
15804,54,0,0,1,0,0,0,0,0,0,107,0,0,107,0,0,107
15804,55,0,0,0,0,0,0,0,0,0,146,146,146,0,0,0,146
15804,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,55,0,0,1,1,0,0,0,0,0,49,0,0,0,0,0,49
15804,55,0,0,1,1,0,0,0,0,0,34,0,34,0,0,0,34
15804,55,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,55,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,55,0,1,1,1,0,0,361,0,0,0,0,0,0,361,0,361
15804,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,56,0,0,0,0,0,0,0,0,0,32,0,0,32,0,0,32
15804,56,0,0,1,0,0,0,0,0,0,55,0,0,0,0,0,55
15804,56,0,0,1,0,0,0,81,0,0,0,0,0,81,81,0,81
15804,56,0,0,1,1,0,0,0,0,0,0,119,0,0,0,0,119
15804,56,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,56,0,1,1,0,0,0,0,0,0,92,0,0,0,92,0,92
15804,56,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,57,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,61
15804,57,0,0,0,0,0,0,0,0,0,153,0,0,153,0,0,153
15804,57,0,0,1,0,0,0,0,0,0,40,0,0,40,0,0,40
15804,57,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,57,0,0,1,1,0,0,0,0,0,50,0,0,50,50,0,50
15804,58,0,0,0,0,0,0,0,0,0,60,0,0,0,60,0,60
15804,58,0,0,0,0,0,0,0,0,0,99,99,0,0,0,0,99
15804,59,0,0,1,1,0,0,74,0,0,0,0,0,0,0,0,74
15804,59,0,1,1,1,0,0,163,0,0,0,0,0,0,163,0,163
15804,60,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,61,0,0,0,0,0,0,0,0,0,26,0,0,26,0,0,26
15804,61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,61,0,0,1,0,0,0,60,0,0,0,0,0,60,60,0,60
15804,62,0,0,0,0,0,0,0,0,0,78,0,0,78,0,0,78
15804,62,0,0,0,0,0,0,0,0,0,339,339,0,0,0,0,339
15804,62,0,0,1,0,0,0,0,0,0,0,607,0,0,0,607,607
15804,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,62,0,0,1,1,0,0,0,0,0,0,87,0,0,0,87,87
15804,62,1,0,1,0,0,0,0,0,0,31,31,31,31,31,31,31
15804,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,63,0,0,0,0,0,0,0,0,0,423,0,0,0,423,0,423
15804,63,0,0,0,0,0,0,0,0,0,32,0,0,32,32,0,32
15804,63,0,0,1,1,0,0,0,0,0,146,146,0,146,146,146,146
15804,63,0,1,1,1,0,0,0,0,0,0,0,0,0,39,0,39
15804,63,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,64,0,0,0,0,0,0,0,0,0,0,90,0,90,0,0,90
15804,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,64,0,0,0,0,0,0,0,0,0,66,0,0,66,0,66,66
15804,64,0,0,0,0,0,78,0,0,0,0,0,0,78,0,78,78
15804,64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,64,0,0,1,1,0,0,0,0,0,87,87,0,87,87,87,87
15804,64,0,0,1,1,0,0,37,0,0,0,0,0,0,0,0,37
15804,64,0,1,1,1,0,0,0,0,0,0,131,0,131,131,131,131
15804,65,0,0,0,0,0,0,0,0,0,49,0,0,49,0,0,49
15804,65,0,0,1,1,0,0,0,0,0,0,207,0,207,207,0,207
15804,65,0,0,1,1,0,0,132,0,0,0,0,0,132,132,0,132
15804,65,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,66,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,420
15804,66,0,0,0,0,0,0,35,0,0,35,0,35,0,0,35,35
15804,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,66,0,0,1,0,0,0,0,0,0,215,0,0,0,0,0,215
15804,66,0,0,1,1,176,0,0,0,0,0,176,0,176,176,176,176
15804,66,0,1,1,0,0,28,0,0,0,0,0,0,28,28,28,28
15804,67,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
15804,67,0,0,1,0,0,0,0,0,0,22,22,0,0,0,0,22
15804,68,0,0,1,1,0,0,0,0,0,0,89,0,89,0,0,89
15804,68,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,68,1,1,1,1,0,0,0,0,0,0,139,0,139,139,139,139
15804,69,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,70,0,0,0,0,0,0,46,0,0,46,0,0,46,46,0,46
15804,70,0,0,1,0,215,0,0,0,0,0,215,0,0,0,0,215
15804,70,0,1,1,0,0,0,0,0,0,35,0,0,0,35,0,35
15804,70,0,1,1,1,0,0,0,0,0,109,0,0,109,109,0,109
15804,71,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,78
15804,71,0,0,0,0,0,0,0,0,0,28,0,0,28,0,0,28
15804,71,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,164
15804,71,0,0,0,0,0,0,66,0,0,0,66,0,66,66,0,66
15804,71,0,0,0,0,0,66,0,0,0,0,0,0,66,0,66,66
15804,71,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,71,0,0,1,1,0,0,0,0,0,15,0,0,15,15,0,15
15804,71,0,0,1,1,0,0,90,0,0,0,0,0,90,90,0,90
15804,71,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,71,0,1,1,1,0,0,89,0,0,0,0,0,0,89,0,89
15804,71,1,1,1,1,0,0,68,0,0,0,68,0,68,68,0,68
15804,72,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,384
15804,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,72,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,72,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,72,0,0,1,1,0,0,0,0,0,154,154,0,154,154,154,154
15804,72,0,0,1,1,0,0,56,0,0,56,56,0,0,0,0,56
15804,72,0,1,1,0,0,0,366,0,0,0,0,0,0,0,0,366
15804,72,0,1,1,1,0,0,0,0,0,0,144,0,144,0,0,144
15804,73,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,59
15804,73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,73,0,0,1,0,0,0,0,0,0,62,0,0,62,0,0,62
15804,73,0,0,1,0,0,0,44,0,0,0,0,0,0,44,0,44
15804,73,0,0,1,1,0,0,0,0,0,36,36,0,36,36,0,36
15804,73,0,1,1,1,0,0,0,0,0,83,0,0,83,83,0,83
15804,73,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,73,0,1,1,1,0,0,73,0,0,0,0,0,0,73,0,73
15804,74,0,0,0,0,0,0,0,0,0,343,0,0,0,0,0,343
15804,74,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
15804,74,0,0,0,0,0,95,95,0,0,95,0,0,0,0,0,95
15804,74,0,0,1,1,0,0,0,0,0,0,117,0,117,117,117,117
15804,75,0,0,1,0,0,0,0,0,0,80,0,0,80,80,0,80
15804,75,0,0,1,1,0,0,75,0,0,0,0,0,75,0,0,75
15804,75,0,1,1,0,0,0,212,0,0,0,0,0,212,212,0,212
15804,76,0,0,0,0,0,0,0,0,0,28,0,0,28,0,0,28
15804,76,0,0,0,0,0,0,0,0,0,69,69,0,0,69,0,69
15804,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,76,0,0,0,1,0,0,0,0,0,0,127,0,127,127,127,127
15804,76,0,0,0,1,0,0,0,0,0,94,0,0,94,0,0,94
15804,76,0,0,1,0,0,0,64,0,0,0,0,0,64,0,0,64
15804,76,0,0,1,0,0,104,0,0,0,0,0,0,104,0,104,104
15804,76,0,0,1,1,0,168,0,0,0,0,0,0,168,168,168,168
15804,76,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,77,0,0,1,0,0,0,0,0,0,112,0,0,112,0,0,112
15804,77,0,0,1,1,0,0,0,0,0,66,0,0,0,0,0,66
15804,77,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,78,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,93
15804,78,0,0,0,0,0,0,0,0,0,311,0,0,311,0,0,311
15804,78,0,0,0,0,0,0,0,0,0,184,0,0,184,184,0,184
15804,78,0,0,0,1,0,0,0,0,0,158,0,0,158,158,158,158
15804,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,78,0,0,1,0,0,0,0,0,0,215,0,0,0,215,215,215
15804,78,0,0,1,1,0,0,164,0,0,0,0,0,164,164,0,164
15804,78,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15804,78,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15804,78,0,1,1,1,14,0,0,0,0,14,0,0,14,14,0,14
15804,79,0,0,0,0,0,0,0,0,0,60,0,0,60,60,0,60
